Teller,TijdISO,SecondenSindsMiddernacht,Pin
90373,2019-12-31T08:32:25.623525,30745.623525,17
90374,2019-12-31T08:32:34.000721,30754.000721,17
90375,2019-12-31T08:32:37.023612,30757.023612,17
90376,2019-12-31T08:35:01.750944,30901.750944,17
90377,2019-12-31T08:35:02.350552,30902.350552,17
90378,2019-12-31T08:35:06.532408,30906.532408,17
90379,2019-12-31T08:35:07.171833,30907.171833,17
90380,2019-12-31T08:37:27.264448,31047.264448,17
90381,2019-12-31T08:37:34.668257,31054.668257,17
90382,2019-12-31T08:37:38.846580,31058.84658,17
90383,2019-12-31T08:37:39.481477,31059.481477,17
90384,2019-12-31T08:37:43.761445,31063.761445,17
90385,2019-12-31T08:37:44.408362,31064.408362,17
90386,2019-12-31T08:37:48.652813,31068.652813,17
90387,2019-12-31T08:37:49.317237,31069.317237,17
90388,2019-12-31T08:37:53.566348,31073.566348,17
90389,2019-12-31T08:37:54.192017,31074.192017,17
90390,2019-12-31T08:37:58.424433,31078.424433,17
90391,2019-12-31T08:37:59.036394,31079.036394,17
90392,2019-12-31T08:38:03.255876,31083.255876,17
90393,2019-12-31T08:38:03.901294,31083.901294,17
90394,2019-12-31T08:38:08.041930,31088.04193,17
90395,2019-12-31T08:38:08.680162,31088.680162,17
90396,2019-12-31T08:38:12.860895,31092.860895,17
90397,2019-12-31T08:38:13.503817,31093.503817,17
90398,2019-12-31T08:39:42.434350,31182.43435,17
90399,2019-12-31T08:39:43.053579,31183.053579,17
90400,2019-12-31T08:39:47.215469,31187.215469,17
90401,2019-12-31T08:39:47.816584,31187.816584,17
90402,2019-12-31T08:43:26.334125,31406.334125,17
90403,2019-12-31T08:43:26.729194,31406.729194,17
90404,2019-12-31T08:43:30.439344,31410.439344,17
90405,2019-12-31T08:43:30.848666,31410.848666,17
90406,2019-12-31T08:46:44.991012,31604.991012,17
90407,2019-12-31T08:47:45.836249,31665.836249,17
90408,2019-12-31T09:01:19.272003,32479.272003,17
90409,2019-12-31T09:02:10.303255,32530.303255,17
90410,2019-12-31T09:02:14.146713,32534.146713,17
90411,2019-12-31T09:02:14.621613,32534.621613,17
90412,2019-12-31T09:02:55.319378,32575.319378,17
90413,2019-12-31T09:04:52.372171,32692.372171,17
90414,2019-12-31T09:06:10.741432,32770.741432,17
90415,2019-12-31T09:06:56.798993,32816.798993,17
90416,2019-12-31T09:12:26.723351,33146.723351,17
90417,2019-12-31T09:13:52.316571,33232.316571,17
90418,2019-12-31T09:13:56.383126,33236.383126,17
90419,2019-12-31T09:13:56.993324,33236.993324,17
90420,2019-12-31T09:15:01.287317,33301.287317,17
90421,2019-12-31T09:15:02.294505,33302.294505,17
90422,2019-12-31T09:15:07.376382,33307.376382,17
90423,2019-12-31T09:15:08.372134,33308.372134,17
90424,2019-12-31T09:15:58.062667,33358.062667,17
90425,2019-12-31T09:15:58.824565,33358.824565,17
90426,2019-12-31T09:16:03.031525,33363.031525,17
90427,2019-12-31T09:16:03.696449,33363.696449,17
90428,2019-12-31T09:16:09.379819,33369.379819,17
90429,2019-12-31T09:16:09.853447,33369.853447,17
90430,2019-12-31T09:16:21.624500,33381.6245,17
90431,2019-12-31T09:17:22.272923,33442.272923,17
90432,2019-12-31T09:17:30.887766,33450.887766,17
90433,2019-12-31T09:17:33.876567,33453.876567,17
90434,2019-12-31T09:17:44.171554,33464.171554,17
90435,2019-12-31T09:17:47.290916,33467.290916,17
90436,2019-12-31T09:18:45.191352,33525.191352,17
90437,2019-12-31T09:18:45.678700,33525.6787,17
90438,2019-12-31T09:18:49.691310,33529.69131,17
90439,2019-12-31T09:18:50.370310,33530.37031,17
